Video Time (hh:min:sec.millis),Face Id,Face name,Frame index,Angry,Contempt,Disgust,Fear,Happy,Neutral,Sad,Surprise,Dominant Emotion,Arousal,Valence,Intensity
00:00:04:317,1,Face 1,128,0.0002,0.0021,0.0003,0.0000,0.9944,0.0004,0.0000,0.0025,happy,0.00,0.01,0.01
00:00:04:351,1,Face 1,129,0.0001,0.0005,0.0002,0.0000,0.9983,0.0001,0.0000,0.0008,happy,0.00,0.01,0.01
00:00:04:384,1,Face 1,130,0.0002,0.0010,0.0001,0.0000,0.9978,0.0001,0.0000,0.0008,happy,0.00,0.01,0.01
00:00:04:418,1,Face 1,131,0.0001,0.0004,0.0002,0.0000,0.9974,0.0001,0.0000,0.0019,happy,0.00,0.01,0.01
00:00:04:452,1,Face 1,132,0.0000,0.0003,0.0003,0.0000,0.9990,0.0000,0.0000,0.0003,happy,0.00,0.01,0.01
00:00:04:486,1,Face 1,133,0.0000,0.0003,0.0001,0.0000,0.9993,0.0000,0.0000,0.0003,happy,0.00,0.01,0.01
00:00:04:519,1,Face 1,134,0.0000,0.0001,0.0001,0.0000,0.9993,0.0000,0.0000,0.0004,happy,0.00,0.01,0.01
00:00:04:553,1,Face 1,135,0.0002,0.0005,0.0002,0.0000,0.9980,0.0001,0.0000,0.0009,happy,0.00,0.01,0.01
00:00:04:587,1,Face 1,136,0.0001,0.0002,0.0002,0.0000,0.9990,0.0000,0.0000,0.0006,happy,0.00,0.01,0.01
00:00:04:621,1,Face 1,137,0.0001,0.0002,0.0003,0.0000,0.9976,0.0001,0.0000,0.0016,happy,0.00,0.01,0.01
00:00:04:654,1,Face 1,138,0.0001,0.0007,0.0001,0.0000,0.9981,0.0001,0.0000,0.0009,happy,0.00,0.01,0.01
00:00:04:688,1,Face 1,139,0.0001,0.0005,0.0004,0.0000,0.9979,0.0001,0.0000,0.0010,happy,0.00,0.01,0.01
00:00:04:722,1,Face 1,140,0.0005,0.0015,0.0016,0.0001,0.9902,0.0014,0.0001,0.0047,happy,0.00,0.01,0.01
00:00:04:755,1,Face 1,141,0.0010,0.0133,0.0013,0.0003,0.9613,0.0144,0.0006,0.0078,happy,0.00,0.01,0.01
00:00:04:789,1,Face 1,142,0.0049,0.0170,0.0044,0.0021,0.8301,0.1204,0.0025,0.0185,happy,0.00,0.01,0.01
00:00:04:823,1,Face 1,143,0.0066,0.0375,0.0037,0.0009,0.7140,0.2212,0.0035,0.0126,happy,0.00,0.01,0.01
00:00:04:857,1,Face 1,144,0.0036,0.0162,0.0033,0.0011,0.8962,0.0667,0.0015,0.0113,happy,0.00,0.01,0.01
00:00:04:992,1,Face 1,148,0.0045,0.0102,0.0040,0.0025,0.8839,0.0801,0.0054,0.0093,happy,0.00,0.01,0.01
00:00:05:059,1,Face 1,150,0.0051,0.0138,0.0044,0.0035,0.8014,0.1586,0.0044,0.0087,happy,0.00,0.01,0.01
00:00:05:160,1,Face 1,153,0.0024,0.0077,0.0049,0.0010,0.9322,0.0442,0.0040,0.0036,happy,0.00,0.01,0.01
00:00:05:194,1,Face 1,154,0.0003,0.0029,0.0006,0.0001,0.9880,0.0069,0.0006,0.0006,happy,0.00,0.01,0.01
00:00:05:228,1,Face 1,155,0.0004,0.0029,0.0007,0.0003,0.9741,0.0172,0.0005,0.0039,happy,0.00,0.01,0.01
00:00:05:261,1,Face 1,156,0.0013,0.0048,0.0009,0.0005,0.9740,0.0104,0.0006,0.0074,happy,0.00,0.01,0.01
00:00:05:295,1,Face 1,157,0.0015,0.0031,0.0011,0.0005,0.9795,0.0118,0.0008,0.0018,happy,0.00,0.01,0.01
00:00:05:329,1,Face 1,158,0.0003,0.0040,0.0004,0.0002,0.9917,0.0023,0.0002,0.0010,happy,0.00,0.01,0.01
00:00:05:363,1,Face 1,159,0.0002,0.0016,0.0002,0.0002,0.9955,0.0010,0.0002,0.0011,happy,0.00,0.01,0.01
00:00:05:396,1,Face 1,160,0.0002,0.0004,0.0003,0.0001,0.9974,0.0001,0.0000,0.0015,happy,0.00,0.01,0.01
00:00:05:430,1,Face 1,161,0.0005,0.0020,0.0004,0.0002,0.9948,0.0006,0.0001,0.0015,happy,0.00,0.01,0.01
00:00:05:464,1,Face 1,162,0.0001,0.0013,0.0001,0.0000,0.9979,0.0001,0.0000,0.0005,happy,0.00,0.01,0.01
00:00:05:497,1,Face 1,163,0.0001,0.0032,0.0001,0.0000,0.9952,0.0007,0.0000,0.0007,happy,0.00,0.01,0.01
00:00:05:531,1,Face 1,164,0.0002,0.0007,0.0001,0.0000,0.9985,0.0003,0.0000,0.0002,happy,0.00,0.01,0.01
00:00:05:565,1,Face 1,165,0.0001,0.0003,0.0000,0.0000,0.9994,0.0001,0.0000,0.0001,happy,0.00,0.01,0.01
00:00:05:599,1,Face 1,166,0.0001,0.0004,0.0001,0.0000,0.9987,0.0004,0.0001,0.0002,happy,0.00,0.01,0.01
00:00:05:632,1,Face 1,167,0.0001,0.0001,0.0000,0.0000,0.9995,0.0001,0.0000,0.0001,happy,0.00,0.01,0.01
00:00:05:666,1,Face 1,168,0.0001,0.0006,0.0000,0.0000,0.9990,0.0001,0.0000,0.0002,happy,0.00,0.01,0.01
00:00:05:700,1,Face 1,169,0.0001,0.0007,0.0001,0.0000,0.9984,0.0003,0.0001,0.0003,happy,0.00,0.01,0.01
00:00:05:734,1,Face 1,170,0.0000,0.0007,0.0001,0.0000,0.9988,0.0001,0.0000,0.0003,happy,0.00,0.01,0.01
00:00:05:767,1,Face 1,171,0.0001,0.0002,0.0000,0.0000,0.9995,0.0000,0.0000,0.0002,happy,0.00,0.01,0.01
00:00:05:801,1,Face 1,172,0.0001,0.0003,0.0001,0.0000,0.9992,0.0000,0.0000,0.0003,happy,0.00,0.01,0.01
00:00:05:835,1,Face 1,173,0.0002,0.0005,0.0001,0.0000,0.9987,0.0001,0.0000,0.0005,happy,0.00,0.01,0.01
00:00:05:869,1,Face 1,174,0.0001,0.0001,0.0000,0.0000,0.9993,0.0000,0.0000,0.0004,happy,0.00,0.01,0.01
00:00:05:902,1,Face 1,175,0.0000,0.0004,0.0000,0.0000,0.9994,0.0000,0.0000,0.0001,happy,0.00,0.01,0.01
00:00:05:936,1,Face 1,176,0.0000,0.0010,0.0000,0.0000,0.9987,0.0000,0.0000,0.0002,happy,0.00,0.01,0.01
00:00:05:970,1,Face 1,177,0.0002,0.0030,0.0002,0.0000,0.9958,0.0006,0.0000,0.0002,happy,0.00,0.01,0.01
00:00:06:003,1,Face 1,178,0.0001,0.0100,0.0002,0.0000,0.9885,0.0010,0.0000,0.0002,happy,0.00,0.01,0.01
00:00:06:037,1,Face 1,179,0.0004,0.0112,0.0002,0.0000,0.9857,0.0019,0.0001,0.0005,happy,0.00,0.01,0.01
00:00:06:071,1,Face 1,180,0.0005,0.0013,0.0004,0.0000,0.9954,0.0018,0.0001,0.0004,happy,0.00,0.01,0.01
00:00:06:105,1,Face 1,181,0.0002,0.0081,0.0002,0.0000,0.9892,0.0017,0.0002,0.0004,happy,0.00,0.01,0.01
00:00:06:138,1,Face 1,182,0.0004,0.0114,0.0005,0.0000,0.9835,0.0035,0.0002,0.0005,happy,0.00,0.01,0.01
00:00:06:172,1,Face 1,183,0.0001,0.0033,0.0001,0.0000,0.9956,0.0005,0.0000,0.0003,happy,0.00,0.01,0.01
00:00:06:206,1,Face 1,184,0.0004,0.0031,0.0003,0.0001,0.9946,0.0007,0.0001,0.0008,happy,0.00,0.01,0.01
00:00:06:240,1,Face 1,185,0.0012,0.0050,0.0004,0.0001,0.9879,0.0038,0.0002,0.0014,happy,0.00,0.01,0.01
00:00:06:273,1,Face 1,186,0.0017,0.0096,0.0007,0.0001,0.9815,0.0045,0.0003,0.0016,happy,0.00,0.01,0.01
00:00:06:307,1,Face 1,187,0.0004,0.0046,0.0005,0.0000,0.9909,0.0023,0.0001,0.0011,happy,0.00,0.01,0.01
00:00:06:341,1,Face 1,188,0.0005,0.0025,0.0005,0.0000,0.9928,0.0018,0.0001,0.0019,happy,0.00,0.01,0.01
00:00:06:374,1,Face 1,189,0.0002,0.0010,0.0001,0.0000,0.9952,0.0008,0.0000,0.0027,happy,0.00,0.01,0.01
00:00:06:408,1,Face 1,190,0.0002,0.0026,0.0002,0.0000,0.9936,0.0010,0.0000,0.0024,happy,0.00,0.01,0.01
00:00:06:442,1,Face 1,191,0.0001,0.0030,0.0002,0.0000,0.9947,0.0002,0.0000,0.0018,happy,0.00,0.01,0.01
00:00:06:476,1,Face 1,192,0.0002,0.0053,0.0003,0.0000,0.9892,0.0027,0.0001,0.0023,happy,0.00,0.01,0.01
00:00:06:509,1,Face 1,193,0.0005,0.0197,0.0014,0.0001,0.9575,0.0121,0.0006,0.0080,happy,0.00,0.01,0.01
00:00:06:543,1,Face 1,194,0.0093,0.0972,0.0019,0.0005,0.5194,0.3409,0.0202,0.0106,happy,0.00,0.00,0.00
00:00:06:577,1,Face 1,195,0.0288,0.1077,0.0042,0.0013,0.1376,0.6515,0.0575,0.0115,neutral,0.00,-0.00,0.00
00:00:06:611,1,Face 1,196,0.0127,0.1291,0.0062,0.0010,0.4020,0.4067,0.0247,0.0176,neutral,0.00,0.00,0.00
